project_slug,repository_url,retained_samples,source_folder,final_folder,commits_scanned,candidate_samples_found,filtered_samples,discarded_truncated_code_context,moved_to_review,discarded_weak_inheritdoc,issue_summary_fallbacks,duplicate_against_baseline,duplicate_inside_new_dataset,complete_history,stop_reason
apache_commons_io,https://github.com/apache/commons-io.git,136,dataset_apache_commons_io_extra_3k_140_20260619160713,final_dataset_extra_3k/apache_commons_io,4666,210,70,0,0,0,0,4,0,True,full_history_scanned
apache_lucene,https://github.com/apache/lucene.git,911,dataset_apache_lucene_extra_3k_911_20260618133216,final_dataset_extra_3k/apache_lucene,22341,1290,348,2,31,0,7,0,0,True,full_history_scanned
fasterxml_jackson_databind,https://github.com/FasterXML/jackson-databind.git,215,dataset_fasterxml_jackson_databind_extra_3k_215_20260618144137,final_dataset_extra_3k/fasterxml_jackson_databind,12973,273,33,12,25,0,6,0,0,True,full_history_scanned
junit_team_junit5,https://github.com/junit-team/junit5.git,174,dataset_junit_team_junit5_extra_3k_174_20260620053311,final_dataset_extra_3k/junit_team_junit5,10843,208,32,0,2,0,0,0,0,True,full_history_scanned
spring_projects_spring_data_commons,https://github.com/spring-projects/spring-data-commons.git,185,dataset_spring_projects_spring_data_commons_extra_3k_185_20260620044152,final_dataset_extra_3k/spring_projects_spring_data_commons,3427,201,13,1,3,0,0,0,0,True,full_history_scanned
